Company Name,UID,Entity Name,Alias,Start Date,End Date,Has Ended,Wiki Url,Other Url,Start Date Assumed,Start Year,Start Month,Start Day,End Date Assumed,End Year,End Month,End Day,
3M Company,EQT-6F6641,Consumer Business Group,Consumer Business Group,,,,,https://www.3m.com/3M/en_US/careers-us/working-at-3m/our-business-groups/,TRUE,-,-,-,TRUE,-,-,-,
3M Company,EQT-6F6641,Electronics and Energy Business Group,Electronics and Energy Business Group,,,,,https://www.3m.com/3M/en_US/careers-us/working-at-3m/our-business-groups/,TRUE,-,-,-,TRUE,-,-,-,
3M Company,EQT-6F6641,Health Care Business Group,Health Care Business Group,,,,,https://www.3m.com/3M/en_US/careers-us/working-at-3m/our-business-groups/,TRUE,-,-,-,TRUE,-,-,-,
3M Company,EQT-6F6641,Industrial Business Group,Industrial Business Group,,,,,https://www.3m.com/3M/en_US/careers-us/working-at-3m/our-business-groups/,TRUE,-,-,-,TRUE,-,-,-,
3M Company,EQT-6F6641,Safety and Graphics Business Group,Safety and Graphics Business Group,,,,,https://www.3m.com/3M/en_US/careers-us/working-at-3m/our-business-groups/,TRUE,-,-,-,TRUE,-,-,-,
Abbott Laboratories,EQT-CD2832,Abbott Diagnostics Division,Abbott Diagnostics Division,1977,,,,https://www.bloomberg.com/profiles/companies/1004222D:US-abbott-diagnostics-division,TRUE,1977,-,-,TRUE,-,-,-,
Abbott Laboratories,EQT-CD2834,Abbott Nutrition,Abbott Nutrition,1888,,,,https://abbottnutrition.com/,TRUE,1888,-,-,TRUE,-,-,-,
Abbott Laboratories,EQT-CD2835,Abbott Point of Care,Abbott Point of Care,1983,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=36436538,TRUE,1983,-,-,TRUE,-,-,-,
Abbott Laboratories,EQT-CD2837,Abbott Cardiovascular & Neuromodulation,Abbott Cardiovascular & Neuromodulation,,,,,https://www.abbott.com/abbott-stjudemedical-en.html,TRUE,-,-,-,TRUE,-,-,-,
Abbott Laboratories,EQT-CD2838,Abbott Rapid Diagnostics,Abbott Rapid Diagnostics,,,,,https://www.abbott.com/corpnewsroom/finance/rapid-diagnostics-builds-for-its-future.html,TRUE,-,-,-,TRUE,-,-,-,
Abbott Laboratories,EQT-CD2839,Abbott Established Pharmaceuticals Division,Established Pharmaceuticals Division,,,,,https://articles.marketrealist.com/2015/12/established-pharmaceuticals-segment-abbott-laboratories/,TRUE,-,-,-,TRUE,-,-,-,
AbbVie Inc,EQT-261A24,AbbVie Biotechnology,Abbvie Biotechnology,1-Jan-13,,,,https://www.crunchbase.com/organization/abbvie#section-overview,FALSE,2013,1,1,TRUE,-,-,-,
AbbVie Inc,EQT-261A24,AbbVie Health Care,Healthcare and Life Sciences Panel: AbbVie,1-Jan-13,,,,https://www.crunchbase.com/organization/abbvie#section-overview,FALSE,2013,1,1,TRUE,-,-,-,
AbbVie Inc,EQT-261A24,AbbVie Medical,AbbVie Medical,1-Jan-13,,,,https://www.crunchbase.com/organization/abbvie#section-overview,FALSE,2013,1,1,TRUE,-,-,-,
AbbVie Inc,EQT-261A24,AbbVie Pharmaceutical,Abbvie Pharmaceuticals,1-Jan-13,,,,https://www.crunchbase.com/organization/abbvie#section-overview,FALSE,2013,1,1,TRUE,-,-,-,
Abiomed Inc ,EQT-6C68B4,Abiomed Heart Surgery,Abiomed Heart Surgery,1981,,,,,TRUE,1981,-,-,TRUE,-,-,-,
Accenture Plc,EQT-467534,Accenture Automotive,Accenture Automotive,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Accenture Plc,EQT-467534,Accenture Banking,Accenture Banking,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Accenture Plc,EQT-467534,Accenture Capital Markets,Accenture Capital Markets,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Accenture Plc,EQT-467534,Accenture Chemicals,Accenture Chemicals,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Accenture Plc,EQT-467534,Accenture Communications and Media,Accenture Communications and Media,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Accenture Plc,EQT-467534,Accenture Consumer Goods and Services,Accenture Consumer Goods and Services,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Accenture Plc,EQT-467534,Accenture Energy,Accenture Energy,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Accenture Plc,EQT-467534,Accenture Freight and Logistics​,Accenture Freight and Logistics​,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Accenture Plc,EQT-467534,Accenture Health,Accenture Health,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Accenture Plc,EQT-467534,Accenture High Tech,Accenture High Tech,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Accenture Plc,EQT-467534,Accenture Industrial Equipment,Accenture Industrial Equipment,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Accenture Plc,EQT-467534,Accenture Insurance,Accenture Insurance,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Accenture Plc,EQT-467534,Accenture Life Sciences,Accenture Life Sciences,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Accenture Plc,EQT-467534,Accenture Natural Resources,Accenture Natural Resources,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Accenture Plc,EQT-467534,Accenture Public Service,Accenture Public Service,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Accenture Plc,EQT-467534,Accenture Retail,Accenture Retail,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Accenture Plc,EQT-467534,Accenture Software and Platforms,Accenture Software and Platforms,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Accenture Plc,EQT-467534,Accenture Travel,Accenture Travel,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Accenture Plc,EQT-467534,Accenture US Federal Government,Accenture US Federal Government,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Accenture Plc,EQT-467534,Pizza Hut Division,Accenture Utilities,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Accenture PLC,EQT-467534,"Accenture Communications, Media & Technology","Accenture Communications, Media & Technology",,,,https://en.wikipedia.org/wiki/Accenture,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=972190,TRUE,-,-,-,TRUE,-,-,-,
Accenture PLC,EQT-467534,Accenture Financial Services,Accenture Financial Services,,,,https://en.wikipedia.org/wiki/Accenture,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=972190,TRUE,-,-,-,TRUE,-,-,-,
Accenture PLC,EQT-467534,Accenture Health & Public Service,Accenture Health & Public Service,,,,https://en.wikipedia.org/wiki/Accenture,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=972190,TRUE,-,-,-,TRUE,-,-,-,
Accenture PLC,EQT-467534,Accenture Products,Accenture Products,,,,https://en.wikipedia.org/wiki/Accenture,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=972190,TRUE,-,-,-,TRUE,-,-,-,
Accenture PLC,EQT-467534,Accenture Resources,Accenture Resources,,,,https://en.wikipedia.org/wiki/Accenture,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=972190,TRUE,-,-,-,TRUE,-,-,-,
Activision Blizzard Inc,EQT-A2DA55,Activision Blizzard Studios,Activision Blizzard Studios,06-Nov-15,,,https://en.wikipedia.org/wiki/Activision_Blizzard_Studios,,FALSE,2015,11,6,TRUE,-,-,-,
Activision Blizzard Inc,EQT-A2DA55,Activision,Activision,,,,https://en.wikipedia.org/wiki/Activision_Blizzard,https://activisionblizzard.com/about-us,TRUE,-,-,-,TRUE,-,-,-,
Activision Blizzard Inc,EQT-A2DA55,Blizzard Entertainment,Blizzard Entertainment,,,,https://en.wikipedia.org/wiki/Activision_Blizzard,https://activisionblizzard.com/about-us,TRUE,-,-,-,TRUE,-,-,-,
Activision Blizzard Inc,EQT-A2DA55,King Digital Entertainment,King Digital Entertainment,,,,https://en.wikipedia.org/wiki/Activision_Blizzard,https://activisionblizzard.com/about-us,TRUE,-,-,-,TRUE,-,-,-,
Activision Blizzard Inc,EQT-A2DA55,Activation Blizzard Major League Gaming,Activation Blizzard Major League Gaming,,,,https://en.wikipedia.org/wiki/Activision_Blizzard,https://activisionblizzard.com/about-us,TRUE,-,-,-,TRUE,-,-,-,
Activision Blizzard Inc,EQT-A2DA55,Activision Blizzard Studios,Activision Blizzard Studios,,,,https://en.wikipedia.org/wiki/Activision_Blizzard,https://activisionblizzard.com/about-us,TRUE,-,-,-,TRUE,-,-,-,
Advance Auto Parts Inc,EQT-5CD6D3,Carquest Corporation,"Carquest Corporation, Carquest",1974,,,https://en.wikipedia.org/wiki/Carquest,,TRUE,1974,-,-,TRUE,-,-,-,
Advanced Micro Devices Inc,EQT-D64F76,Advanced Technology Investment Company,Advanced Technology Investment Company,2008,,,https://en.wikipedia.org/wiki/Mubadala_Investment_Company,,TRUE,2008,-,-,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Access and Energy,"Access and Energy, Access",,,,,,TRUE,-,-,-,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Jigsaw,"Jigsaw, Google Ideas",2015,,,https://en.wikipedia.org/wiki/Jigsaw_(company),https://www.crunchbase.com/organization/jigsaw,TRUE,2015,-,-,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Amazon Locker,Amazon Locker,Sep-2011,,,https://en.wikipedia.org/wiki/Amazon_Locker,,TRUE,2011,9,-,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Amazon Game Studios,Amazon Game Studios,07-Aug-12,,,https://en.wikipedia.org/wiki/Amazon_Game_Studios,,FALSE,2012,8,7,TRUE,-,-,-,
Amazon.com Inc,EQT-A438AE,Kindle Direct Publishing,Kindle Direct Publishing,Nov-2007,,,https://en.wikipedia.org/wiki/Kindle_Direct_Publishing,,TRUE,2007,11,-,TRUE,-,-,-,
American Express Company,EQT-982449,United States Card Services,United States Card Services,,,,,https://marketrealist.com/2015/05/american-express-four-operating-segments,TRUE,-,-,-,TRUE,-,-,-,
American Express Company,EQT-982449,Global Commercial Services,Global Commercial Services,,,,,https://marketrealist.com/2015/05/american-express-four-operating-segments,TRUE,-,-,-,TRUE,-,-,-,
American Express Company,EQT-982449,Global Network and Merchant Services,Global Network and Merchant Services,,,,,https://marketrealist.com/2015/05/american-express-four-operating-segments,TRUE,-,-,-,TRUE,-,-,-,
American Express Company,EQT-982449,American Express Geographical Focus,American Express Geographical Focus,,,,,https://marketrealist.com/2015/05/american-express-four-operating-segments,TRUE,-,-,-,TRUE,-,-,-,
Apple Inc,EQT-E3FB65,Americas,Apple Americas,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Apple Inc,EQT-E3FB65,Apple Services,Apple Services,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Apple Inc,EQT-E3FB65,Apple Watch,Apple Watch Division,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Apple Inc,EQT-E3FB65,AppleTV,AppleTv Division,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Apple Inc,EQT-E3FB65,Asia & Pacific,"Apple Asia-Pacific, Apple Asia & Pacific",,,,,,TRUE,-,-,-,TRUE,-,-,-,
Apple Inc,EQT-E3FB65,Europe,Apple Europe,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Apple Inc,EQT-E3FB65,iOS,Apple iOS Division,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Apple Inc,EQT-E3FB65,iPad,Apple iPad Division,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Apple Inc,EQT-E3FB65,iPhone,Apple iPhone Division,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Apple Inc,EQT-E3FB65,iPod,Apple iPod Division,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Apple Inc,EQT-E3FB65,MacOSX,Apple MacOSX,,,,,,TRUE,-,-,-,TRUE,-,-,-,
Bank of America Corporation,EQT-87AFD3,Bank of America Merrill Lynch,"Bank of America Merrill Lynch, BAML",01-Jan-09,,,https://en.wikipedia.org/wiki/Bank_of_America_Merrill_Lynch,,FALSE,2009,1,1,TRUE,-,-,-,
Bank of America Merrill Lynch,N/A,Merrill Edge,Merrill Edge,21-Jun-10,,,https://en.wikipedia.org/wiki/Merrill_Edge,,FALSE,2010,6,21,TRUE,-,-,-,
Boeing Capital Corporation,N/A,Aircraft Financial Services,Aircraft Financial Services,,,,https://en.wikipedia.org/wiki/Boeing_Capital,,TRUE,-,-,-,TRUE,-,-,-,
Boeing Capital Corporation,N/A,Space and Defense Financial Services,"Space and Defense Financial Services, Space & Defense Financial Services",,,,https://en.wikipedia.org/wiki/Boeing_Capital,,TRUE,-,-,-,TRUE,-,-,-,
Boeing Defence Space and Security,N/A,Boeing Military Aircraft,Boeing Military Aircraft,,,,"https://en.wikipedia.org/wiki/Boeing_Defense,_Space_%26_Security",,TRUE,-,-,-,TRUE,-,-,-,
Boeing Defence Space and Security,N/A,Boeing Turbine Division,Boeing Turbine Division,1969,,,,https://www.flightglobal.com/FlightPDFArchive/1969/1969%20-%200032.PDF,TRUE,1969,-,-,TRUE,-,-,-,
Boeing Defense Space and Security,N/A,Vertical Lift,"Vertical Lift, Boeing Rotorcraft Systems, Boeing Vertol, Boeing Helicopters",,,,https://en.wikipedia.org/wiki/Boeing_Rotorcraft_Systems,,TRUE,-,-,-,TRUE,-,-,-,
Buena Vista Theatrical Group Limited,N/A,Disney Theatrical Productions Limited,"Disney Theatrical Productions Limited, Disney on Broadway",08-Feb-93,,,https://en.wikipedia.org/wiki/Disney_Theatrical_Productions,,FALSE,1993,2,8,TRUE,-,-,-,
Caterpillar Inc,EQT-1E9A88,US Operations,"US Operations, U.S. Operations",Oct-2018,,,,https://www.reliableplant.com/Read/3024/caterpillar-shakes-up-manufacturing-divisions,TRUE,2018,10,-,TRUE,-,-,-,
Caterpillar Inc,EQT-1E9A88,Heavy Construction and Mining,Heavy Construction and Mining,Oct-2018,,,,https://www.reliableplant.com/Read/3024/caterpillar-shakes-up-manufacturing-divisions,TRUE,2018,10,-,TRUE,-,-,-,
Caterpillar Inc,EQT-1E9A88,Infrastructure Development,Infrastructure Development,Oct-2018,,,,https://www.reliableplant.com/Read/3024/caterpillar-shakes-up-manufacturing-divisions,TRUE,2018,10,-,TRUE,-,-,-,
Caterpillar Inc,EQT-1E9A88,Wheel Loaders & Excavators,Wheel Loaders & Excavators,,Oct-2018,,,https://www.reliableplant.com/Read/3024/caterpillar-shakes-up-manufacturing-divisions,TRUE,-,-,-,TRUE,2018,10,-,
