EntityName,UID,Sector,SubSector,EntityType,Symbol,TimeZone,Exchange,DefaultIndex,timeOpens,timeCloses
 Greggs PLC,EQT-D2C559,Services,Consumer Services,Company,GRG,GMT Standard Time,London Stock Exchange,FTSE 250,08:00:00,16:30:00
 Swoop Applications Ltd,EQT-096531,Financial,Financial,Company,SW854,GMT Standard Time,Digital Contact Exchange,General Indices,08:00:00,16:30:00
1979 Mission,EQT-EFB272,Financial,Financial,Company,1979MISS,GMT Standard Time,Digital Contact Exchange,Baupost Group Hedge Fund,08:00:00,16:30:00
1PM PLC,EQT-AC7189,Services,Business Services,Company,OPM,GMT Standard Time,London Stock Exchange,FTSE AIM,08:00:00,16:30:00
1SPATIAL PLC,EQT-1143AD,Support Services,Business Support Services,Company,SPA.L,GMT Standard Time,London Stock Exchange,FTSE AIM,08:00:00,16:30:00
1stdibs Inc,EQT-61E229,Financial,Financial,Company,1S0,GMT Standard Time,Digital Contact Exchange,General Indices,08:00:00,16:30:00
21st Century Fox (A),EQT-4CBEC0,Media,Media,Company,FOXA,GMT Standard Time,Digital Contact Exchange,DC Holding Index,08:00:00,16:30:00
21st Century Fox (B),EQT-545561,Media,Media,Company,FOX,GMT Standard Time,Digital Contact Exchange,DC Holding Index,08:00:00,16:30:00
23andMe,EQT-C62533,Healthcare,Specialized Health Services,Company,23A,GMT Standard Time,Digital Contact Exchange,Unicorns,08:00:00,16:30:00
24 Hour Fitness,EQT-82E21F,Travel & Leisure,Recreational Services,Company,HRF,GMT Standard Time,Digital Contact Exchange,DC Clients,08:00:00,16:30:00
3d Hubs,EQT-9F4241,Financial,Financial,Company,3D1,GMT Standard Time,Digital Contact Exchange,General Indices,08:00:00,16:30:00
3D Systems Corp,EQT-4112D1,Technology,Computer Peripherals,Company,DDD,Eastern Standard Time,New York Stock Exchange,NYSE COMPOSITE,09:30:00,16:30:00
3Desk Ltd,EQT-A01DBF,Financial,Financial,Company,3D19,GMT Standard Time,Digital Contact Exchange,General Indices,08:00:00,16:30:00
3i Group PLC,EQT-F09985,Financial,Asset Management,Company,III,GMT Standard Time,London Stock Exchange,FTSE 100,08:00:00,16:30:00
3i Infrastructure PLC,EQT-7FF64F,Financial,Asset Management,Company,3IN,GMT Standard Time,London Stock Exchange,FTSE 250,08:00:00,16:30:00
3M Company,EQT-6F6641,Industrial Goods,Diversified Machinery,Company,MMM,Eastern Standard Time,S&P Dow Jones Indices,S&P 500,09:30:00,16:30:00
4 IMPRINT GROUP,EQT-C8D3C6,Media,Media Agencies,Company,FOUR.L,GMT Standard Time,London Stock Exchange,FTSE Allshare,08:00:00,16:30:00
500.Com Ltd,EQT-73D252,Services,Gaming Activities,Company,WBAI,Eastern Standard Time,New York Stock Exchange,NYSE COMPOSITE,09:30:00,16:30:00
51job Inc,EQT-2558FE,Services,Staffing & Outsourcing Services,Company,JOBS,Eastern Standard Time,S&P Dow Jones Indices,S&P 500,09:30:00,16:30:00
58 Daojia,EQT-80EF35,General Retailers,General Retailers,Company,58D,GMT Standard Time,Digital Contact Exchange,Unicorns,08:00:00,16:30:00
58.com Inc,EQT-8D01FB,Technology,Internet Information Providers,Company,WUBA,Eastern Standard Time,New York Stock Exchange,NYSE COMPOSITE,09:30:00,16:30:00
626 First Avenue,EQT-580866,Financial,Financial,Company,626FIRAVE,GMT Standard Time,Digital Contact Exchange,Baupost Group Hedge Fund,08:00:00,16:30:00
888 Holdings PLC,EQT-6EB3A7,Travel & Leisure,Gambling,Company,888,GMT Standard Time,London Stock Exchange,FTSE 250,08:00:00,16:30:00
8power Ltd,EQT-F6F2C2,Financial,Financial,Company,8P2,GMT Standard Time,Digital Contact Exchange,General Indices,08:00:00,16:30:00
8x8 Inc,EQT-16D1B8,Technology,Internet Software & Services,Company,EGHT,Eastern Standard Time,New York Stock Exchange,NYSE COMPOSITE,09:30:00,16:30:00
A G Barr,EQT-5201C4,Beverages,Soft Drinks,Company,BAG,GMT Standard Time,Digital Contact Exchange,DC Holding Index,08:00:00,16:30:00
A Place for Mom,EQT-2039B2,Health Care Equipment & Services,Health Care Providers,Company,APFM,GMT Standard Time,Unknown,Pre-IPO,08:00:00,16:30:00
A. H. Belo Corp,EQT-EF50B3,Services,Publishing - Newspapers,Company,AHC,Eastern Standard Time,New York Stock Exchange,NYSE COMPOSITE,09:30:00,16:30:00
A. M. Castle & Co,EQT-74BF1B,Industrial Goods,Metal Fabrication,Company,CAS,Eastern Standard Time,New York Stock Exchange,NYSE COMPOSITE,09:30:00,16:30:00
A. O. Smith Corporation,EQT-D126E2,Industrial Goods,Industrial Electrical Equipment,Company,AOS,Eastern Standard Time,S&P Dow Jones Indices,S&P 500,09:30:00,16:30:00
A.S Company,EQT-F7C007,Technology,Technology,Company,ASCO,GMT Standard Time,Unknown,Athens Composite Index,08:00:00,16:30:00
A1 CONSOLIDATED GOLD LIMITED,EQT-BA8289,Mining,Gold Mining,Company,AYC,GMT Standard Time,Digital Contact Exchange,DC Holding Index,08:00:00,16:30:00
A1 INVESTMENTS & RESOURCES LTD,EQT-6597A7,Financial,Diversified Investments,Company,AYI,GMT Standard Time,Digital Contact Exchange,DC Holding Index,08:00:00,16:30:00
A10 Networks Inc,EQT-1342B3,Technology,Communication Equipment,Company,ATEN,Eastern Standard Time,New York Stock Exchange,NYSE COMPOSITE,09:30:00,16:30:00
A2 Milk Company Ltd,EQT-31A81C,Consumer Goods,Farm Products,Company,A2M,E. Australia Standard Time,Australian Securities Exchange,S&P/ASX 200,10:00:00,16:00:00
A2A S.p.A.,EQT-494802,Utilities,Diversified Utilities,Company,A2A,Central European Standard Time,Milan Stock Exchange,FTSE MIB,09:00:00,17:20:00
AA PLC,EQT-14138A,Services,Consumer Services,Company,AA,GMT Standard Time,London Stock Exchange,FTSE 250,08:00:00,16:30:00
AAC Holdings Inc,EQT-E35DA8,Healthcare,Specialized Health Services,Company,AAC,Eastern Standard Time,New York Stock Exchange,NYSE COMPOSITE,09:30:00,16:30:00
Aalberts Industries NV,EQT-F437B7,Industrial Engineering,Industrial Engineering,Company,AALB,Central European Standard Time,Euronext Paris,Next 150,09:00:00,17:40:00
AAR Corp,EQT-0A2E86,Industrial Goods,Aerospace/Defense Products & Services,Company,AIR,Eastern Standard Time,New York Stock Exchange,NYSE COMPOSITE,09:30:00,16:30:00
Aaron's Inc,EQT-6F22B2,Services,Rental & Leasing Services,Company,AAN,Eastern Standard Time,New York Stock Exchange,NYSE COMPOSITE,09:30:00,16:30:00
Ab Science SA,EQT-757DC4,Pharmaceuticals & Biotechnology,Pharmaceuticals & Biotechnology,Company,AB,Central European Standard Time,Euronext Paris,Next 150,09:00:00,17:40:00
AB SKF,EQT-3165A5,Basic Materials,Basic Materials,Company,SKF B,Central European Standard Time,Nasdaq Stockholm,OMX Stockholm 30 Index,09:00:00,17:30:00
ABA English,EQT-9DD913,Financial,Financial,Company,AB3,GMT Standard Time,Digital Contact Exchange,General Indices,08:00:00,16:30:00
Abacus Property Group,EQT-9C4EDD,Financial,REIT - Diversified,Company,ABP,E. Australia Standard Time,Australian Securities Exchange,S&P/ASX 200,10:00:00,16:00:00
Abacus Property Group Stapled,EQT-3CE1FB,Services,Services,Company,CBA,GMT Standard Time,Digital Contact Exchange,DC Holding Index,08:00:00,16:30:00
AbacusNext,EQT-A42A91,Software & Computer Services,Software,Company,ABN,GMT Standard Time,Digital Contact Exchange,DC Clients,08:00:00,16:30:00
ABB Ltd,EQT-B7F0D5,Industrial Goods,Diversified Machinery,Company,ABB,Eastern Standard Time,New York Stock Exchange,NYSE COMPOSITE,09:30:00,16:30:00
ABB Ltd,EQT-C0C30E,Electronic & Electrical Equipment,Electronic & Electrical Equipment,Company,ABBN,GMT Standard Time,Unknown,EUROFIRST 300,08:00:00,16:30:00
Abbott Laboratories,EQT-CD2826,Healthcare,Medical Appliances & Equipment,Company,ABT,Eastern Standard Time,S&P Dow Jones Indices,S&P 500,09:30:00,16:30:00
AbbVie Inc,EQT-261A24,Healthcare,Drug Manufacturers - Major,Company,ABBV,Eastern Standard Time,S&P Dow Jones Indices,S&P 500,09:30:00,16:30:00
ABC Arbitrage SA,EQT-C9F41B,Financial Services,Financial Services,Company,ABCA,Central European Standard Time,Euronext Paris,Next 150,09:00:00,17:40:00
ABCAM,EQT-C451C7,Pharmaceuticals & Biotechnology,Pharmaceuticals & Biotechnology,Company,ABCA.L,GMT Standard Time,London Stock Exchange,FTSE AIM,08:00:00,16:30:00
Abcodia Ltd,EQT-0824A7,Financial,Financial,Company,AB0,GMT Standard Time,Digital Contact Exchange,General Indices,08:00:00,16:30:00
Abengoa SA,EQT-5C588D,Services,Services,Company,ABG.P,GMT Standard Time,Digital Contact Exchange,DC Holding Index,08:00:00,16:30:00
Abengoa SA,EQT-72B64F,Technology,Technology,Company,ABGB,Eastern Standard Time,NASDAQ,NASDAQ Comp.,09:30:00,16:30:00
