Company Name,UID,Entity Name,Alias,Position,Start Date,End Date,Has Ended,LinkedIn Url,Wiki Url,Other Url,Start Date Assumed,Start Year,Start Month,Start Day,End Date Assumed,End Year,End Month,End Day
2014 New York New Jersey Super Bowl Host Company,N/A,Alfred Kelly,"Alfred Francis Kelly Jr, Alfred Kelly, Al Kelly",Chief Executive Officer,Apr-2011,Aug-2014,,https://www.linkedin.com/in/alfredkelly/,https://en.wikipedia.org/w/index.php?title=Alfred_Kelly&redirect=no,https://www.bloomberg.com/research/stocks/private/person.asp?personId=169356&privcapId=38043467,TRUE,2011,4,-,TRUE,2014,8,-
2014 New York New Jersey Super Bowl Host Company,N/A,Alfred Kelly,"Alfred Francis Kelly Jr, Alfred Kelly, Al Kelly",President,Apr-2011,Aug-2014,,https://www.linkedin.com/in/alfredkelly/,https://en.wikipedia.org/w/index.php?title=Alfred_Kelly&redirect=no,https://www.bloomberg.com/research/stocks/private/person.asp?personId=169356&privcapId=38043467,TRUE,2011,4,-,TRUE,2014,8,-
23andMe Inc,EQT-C62533,Neal Mohan,Neal Mohan,Director,Jul-2017,,,https://www.linkedin.com/in/neal-mohan/,,https://www.bloomberg.com/research/stocks/private/person.asp?personId=229004263&privcapId=29096,TRUE,2017,7,-,TRUE,-,-,-
24/7 Media Inc,N/A,Brian Lesser,"Brian Lesser, Brian D. Lesser",Vice President of Product Management,May-2006,Jul-2008,,https://www.linkedin.com/in/brianlesser/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=47692750&privcapId=100231,TRUE,2006,5,-,TRUE,2008,7,-
24/7 Media Inc,N/A,Brian Lesser,"Brian Lesser, Brian D. Lesser",Director of Product Marketing,May-2006,Jul-2008,,https://www.linkedin.com/in/brianlesser/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=47692750&privcapId=100231,TRUE,2006,5,-,TRUE,2008,7,-
2i Intelligence Interactive,N/A,Amaury Houdart,Amaury Houdart,Co-Founder,1998,1999,,https://www.linkedin.com/in/amauryhoudart/?originalSubdomain=uk,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=145101126&privcapId=5522530,TRUE,1998,-,-,TRUE,1999,-,-
3Cinteractive,N/A,John Sculley,"John Sculley, John Sculley III",Chairman,2009,,,https://www.linkedin.com/in/johnsculley/,https://en.wikipedia.org/wiki/John_Sculley,,TRUE,2009,-,-,TRUE,-,-,-
3Com Corporation,N/A,Thomas McGill,"Thomas McGill, Thomas J. McGill",Operations Controller Residential Connectivity Group,1998,2001,,https://www.linkedin.com/in/tom-mcgill-672b0b/,,https://www.bloomberg.com/profiles/people/17974601-thomas-j-mcgill,TRUE,1998,-,-,TRUE,2001,-,-
3M Canada Company,N/A,Nicholas Gangestad,"Nichola Gangestad, Nick Gangestad",Vice President of Finance and Information Technology,2003,,TRUE,https://www.linkedin.com/in/nick-gangestad-4b487110/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=129519738&privcapId=289194,TRUE,2003,-,-,TRUE,-,-,-
3M Canada Company,N/A,Nicholas Gangestad,"Nichola Gangestad, Nick Gangestad",Director of Finance and Information Technology,2003,2007,,https://www.linkedin.com/in/nick-gangestad-4b487110/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=129519738&privcapId=289194,TRUE,2003,-,-,TRUE,2007,-,-
