Company Name,UID,Entity Name,Alias,Start Date,End Date,Has Ended,LinkedIn Url,Wiki Url,Other Url,Start Date Assumed,Start Year,Start Month,Start Day,End Date Assumed,End Year,End Month,End Day,
3M Company,EQT-6F6641,3M Japan Limited,"3M Japan Limited, 3M Japan Ltd",01-Dec-61,,,,https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%AA%E3%83%BC%E3%82%A8%E3%83%A0_%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=4141138,FALSE,1961,12,1,TRUE,-,-,-,
3M Company,EQT-6F6641,Meguiars Inc,"Meguiars Inc, Meguiar's Inc",02-Oct-08,,,https://www.linkedin.com/company/meguiar's/about/,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=4592301,FALSE,2008,10,2,TRUE,-,-,-,
3M Company,EQT-6F6641,3M India Limited,"3M India Limited, 3M India Ltd",1987,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=881351,TRUE,1987,-,-,TRUE,-,-,-,
3M Company,EQT-6F6641,3M Canada Company,"3M Canada Company, 3M Canada",1951,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=2228200,TRUE,1951,-,-,TRUE,-,-,-,
3M Company,EQT-6F6641,3M Scott Fire & Safety,3M Scott Fire & Safety,2007,,,https://www.linkedin.com/company/scott-safety/about/,https://en.wikipedia.org/wiki/3M_Scott_Fire_%26_Safety,https://en-gb.facebook.com/pg/3MScott/about/?ref=page_internal,TRUE,2007,-,-,TRUE,-,-,-,
3M Company,EQT-6F6641,Scott Technologies Inc,Scott Technologies Inc,04-Oct-17,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=215676264,FALSE,2017,10,4,TRUE,-,-,-,
3M Company,EQT-6F6641,3M Thailand Limited,"3M Thailand Limited, 3M Thailand Ltd",1967,,,https://www.linkedin.com/company/3m-thailand/about/,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=5777985,TRUE,1967,-,-,TRUE,-,-,-,
3M Company,EQT-6F6641,ZAO 3M Russia,ZAO 3M Russia,,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=25795561,TRUE,-,-,-,TRUE,-,-,-,
3M Company,EQT-6F6641,Ceradyne Inc,Ceradyne Inc,28-Nov-12,,,https://www.linkedin.com/company/ceradyne-inc./about/,https://en.wikipedia.org/wiki/Ceradyne,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=259589,FALSE,2012,11,28,TRUE,-,-,-,
3M Company,EQT-6F6641,3M Touch Systems Inc,3M Touch Systems Inc,1990,,,,,https://www.bloomberg.com/profiles/companies/2900086Q:US-3m-touch-systems-inc,TRUE,1990,-,-,TRUE,-,-,-,
3M Company,EQT-6F6641,3M Touch Systems UK Limited,"3M Touch Systems UK Limited, 3M Touch Systems UK Ltd",1990,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=47192555,TRUE,1990,-,-,TRUE,-,-,-,
3M Company,EQT-6F6641,3M Touch Systems Canada Limited,"3M Touch Systems Canada Limited, 3M Touch Systems Canada Ltd",1951,27-Jun-08,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=6867873,TRUE,1951,-,-,FALSE,2008,6,27,
3M Company,EQT-6F6641,3M Netherlands NV,"3M Netherlands NV, 3M Netherlands N.V.",1958,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=5546299,TRUE,1958,-,-,TRUE,-,-,-,
3M Company,EQT-6F6641,3M ESPE AG,"3M ESPE AG, ESPE Dental AG",Oct-00,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=5914556,TRUE,2000,10,-,TRUE,-,-,-,
3M Company,EQT-6F6641,3M China Limited,"3M China Limited, 3M China Ltd",1984,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=22759832,TRUE,1984,-,-,TRUE,-,-,-,
3M Company,EQT-6F6641,Venture Tape Corporation,"Venture Tape Corporation, Venture Tape Corp",01-Oct-07,,,,,https://news.3m.com/press-release/company/3m-completes-acquisition-venture-tape-corp,FALSE,2007,10,1,TRUE,-,-,-,
3M Company,EQT-6F6641,CUNO Inc,CUNO Inc,02-Aug-05,,,,,https://news.3m.com/press-release/company/3m-completes-acquisition-cuno-incorporated,FALSE,2005,8,2,TRUE,-,-,-,
3M Company,EQT-6F6641,3M Italia SRL,3M Italia SRL,1999,,,,,https://it.kompass.com/c/3m-italia-s-r-l/it0010803/,TRUE,1999,-,-,TRUE,-,-,-,
3M Company,EQT-6F6641,Ivera Medical Corporation,"Ivera Medical Corporation, Ivera Medical Corp",13-Mar-15,,,https://www.linkedin.com/company/ivera-medical/about/,,https://news.3m.com/press-release/company/3m-completes-acquisition-ivera-medical-corp,FALSE,2015,3,13,TRUE,-,-,-,
3M Company,EQT-6F6641,3M Innovation Properties Company,3M Innovation Properties Company,1998,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=7960453,TRUE,1998,-,-,TRUE,-,-,-,
3M Company,EQT-6F6641,3M New Zealand Limited,"3M New Zealand Limited, 3M New Zealand Ltd, 3M (New Zealand) Ltd, Paper Marketing New Zealand Limited",1998,,,,,https://www.bloomberg.com/profiles/companies/6653320Z:NZ-3m-new-zealand-ltd,TRUE,1998,-,-,TRUE,-,-,-,
3M Company,EQT-6F6641,3M New Zealand Limited,"3M New Zealand Limited, 3M New Zealand Ltd, 3M (New Zealand) Ltd, Paper Marketing New Zealand Limited",1973,,,,,https://www.bloomberg.com/profiles/companies/6653320Z:NZ-3m-new-zealand-ltd,TRUE,1973,-,-,TRUE,-,-,-,
3M Company,EQT-6F6641,3M (Schweiz) AG,"3M (Schweiz) AG, 3M (Schweiz) GmbH",1963,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=5663846,TRUE,1963,-,-,TRUE,-,-,-,
